City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,12.66,clear sky
Gat,IL,31.61,34.7642,73.4,100,3,4.18,clear sky
Elko,US,41.0002,-115.5012,73.42,22,2,4.0,clear sky
Vanavara,RU,60.34,102.2797,31.68,81,89,2.71,overcast clouds
Westport,US,41.1415,-73.3579,61.56,88,100,20.71,overcast clouds
Kaeo,NZ,-35.1,173.7833,56.91,52,55,13.94,broken clouds
Alihe,CN,50.5667,123.7167,39.63,29,2,7.83,clear sky
Qaanaaq,GL,77.484,-69.3632,5.0,71,18,7.65,few clouds
Talnakh,RU,69.4865,88.3972,31.21,95,100,3.98,overcast clouds
Morant Bay,JM,17.8815,-76.4093,83.82,85,36,7.74,scattered clouds
Hithadhoo,MV,-0.6,73.0833,82.47,74,39,20.38,scattered clouds
Mar Del Plata,AR,-38.0023,-57.5575,60.1,90,0,5.75,clear sky
Rikitea,PF,-23.1203,-134.9692,69.75,61,41,20.22,scattered clouds
Saint-Augustin,CA,51.226,-58.6502,50.11,93,86,5.73,overcast clouds
Leningradskiy,RU,69.3833,178.4167,31.41,90,100,9.73,overcast clouds
Phan Thiet,VN,10.9333,108.1,82.06,75,100,4.94,overcast clouds
Banda Aceh,ID,5.5577,95.3222,79.66,79,100,10.71,light rain
Faya,SA,18.3851,42.4509,68.11,32,2,6.29,clear sky
Laguna,US,38.421,-121.4238,90.43,39,0,6.91,clear sky
Ushuaia,AR,-54.8,-68.3,40.66,87,100,28.77,light intensity drizzle
Namibe,AO,-15.1961,12.1522,62.01,90,50,7.61,scattered clouds
Mataura,NZ,-46.1927,168.8643,45.48,91,93,10.6,light rain
Kapaa,US,22.0752,-159.319,84.18,72,75,11.5,light rain
Cape Town,ZA,-33.9258,18.4232,61.38,76,20,6.91,few clouds
Iquitos,PE,-3.7481,-73.2472,80.64,78,42,2.3,smoke
Hermanus,ZA,-34.4187,19.2345,45.81,83,3,11.83,clear sky
Provideniya,RU,64.3833,-173.3,41.36,100,100,38.01,light intensity shower rain
Jamestown,US,42.097,-79.2353,51.71,68,9,1.01,clear sky
Bambanglipuro,ID,-7.95,110.2833,78.49,80,100,10.63,overcast clouds
Biak,ID,-0.9131,122.8766,84.33,64,99,1.74,light rain
Vostok,RU,46.4856,135.8833,37.8,41,52,13.0,broken clouds
Jiancheng,CN,30.391,104.5491,57.74,87,100,7.72,overcast clouds
Busselton,AU,-33.65,115.3333,57.56,58,95,13.96,overcast clouds
Albany,US,42.6001,-73.9662,53.53,91,59,4.29,broken clouds
Kismayo,SO,-0.3582,42.5454,76.71,87,32,11.56,scattered clouds
Nishihara,JP,26.1842,127.7558,84.25,74,40,11.5,scattered clouds
Severo-Kurilsk,RU,50.6789,156.125,47.05,50,29,11.01,scattered clouds
Hobart,AU,-42.8794,147.3294,58.26,69,75,17.27,broken clouds
Arlit,NE,18.7369,7.3853,87.35,18,1,7.87,clear sky
Galveston,US,29.3669,-94.9669,78.94,74,0,6.91,clear sky
Severnyy,RU,50.677,36.5532,46.44,93,0,8.95,clear sky
Sanmenxia,CN,34.7747,111.1814,48.79,75,100,5.1,overcast clouds
Weatherford,US,32.7593,-97.7972,79.29,34,10,8.66,clear sky
Barrow,US,71.2906,-156.7887,35.62,80,100,12.66,overcast clouds
Vao,NC,-22.6667,167.4833,71.06,59,61,12.59,broken clouds
Thompson,CA,55.7435,-97.8558,28.56,86,75,13.8,broken clouds
Atuona,PF,-9.8,-139.0333,76.91,77,1,18.14,clear sky
Kazerun,IR,29.6195,51.6541,76.84,15,0,7.52,clear sky
Kotelnich,RU,58.3089,48.348,45.88,96,100,3.76,light rain
Muros,ES,42.7762,-9.0603,65.08,82,62,14.18,broken clouds
Rocha,UY,-34.4833,-54.3333,53.92,95,100,7.67,overcast clouds
Biscarrosse,FR,44.3945,-1.1672,64.35,94,100,3.44,overcast clouds
Okhotsk,RU,59.3833,143.3,34.32,42,100,12.86,overcast clouds
Farah,AF,32.5,62.5,59.09,19,0,4.23,clear sky
Castro,BR,-24.7911,-50.0119,59.9,96,100,7.94,overcast clouds
Codrington,AU,-38.2667,141.9667,62.38,83,100,11.9,overcast clouds
Monduli,TZ,-3.3,36.45,59.83,86,98,6.15,overcast clouds
Barela,IN,23.1,80.05,75.34,91,47,5.32,scattered clouds
Hay River,CA,60.8156,-115.7999,48.18,49,20,9.22,few clouds
Zhigansk,RU,66.7697,123.3711,24.71,80,100,25.88,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,67.55,93,80,5.99,broken clouds
Tahta,EG,26.7693,31.5021,75.49,44,0,12.57,clear sky
Tubuala,PA,9.5167,-79.0333,79.38,84,100,4.32,overcast clouds
Kodiak,US,57.79,-152.4072,53.11,94,100,12.66,heavy intensity rain
Vaini,TO,-21.2,-175.2,76.6,83,100,8.68,light rain
Santiago Del Estero,AR,-27.7951,-64.2615,64.06,76,94,14.0,overcast clouds
Butembo,CD,0.15,29.2833,56.5,94,95,2.06,light rain
Trairi,BR,-3.2778,-39.2689,78.31,82,26,12.44,scattered clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,69.12,85,100,13.0,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,41.85,86,98,17.38,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,30.36,51,86,6.17,overcast clouds
Bluff,NZ,-46.6,168.3333,45.81,57,97,22.12,overcast clouds
Port Alfred,ZA,-33.5906,26.891,57.18,94,74,1.99,broken clouds
Upernavik,GL,72.7868,-56.1549,19.92,89,100,4.47,overcast clouds
Kommunisticheskiy,RU,61.6789,64.4819,39.78,87,83,4.9,broken clouds
Mitsamiouli,KM,-11.3847,43.2844,74.52,76,5,6.42,clear sky
Isangel,VU,-19.55,169.2667,80.71,78,75,11.5,broken clouds
Mayskiy,RU,47.6931,40.1025,42.21,73,94,5.82,overcast clouds
San Cristobal,VE,7.7669,-72.225,71.78,97,100,1.99,overcast clouds
Forio,IT,40.7342,13.8646,65.93,56,100,4.88,overcast clouds
Solnechnyy,RU,50.7214,136.6319,39.27,33,11,11.99,few clouds
Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,88.54,29,75,3.27,broken clouds
Nikolskoye,RU,59.7035,30.7861,49.91,98,99,7.74,overcast clouds
Qaqortoq,GL,60.7167,-46.0333,33.62,85,18,9.33,few clouds
Adrar,MR,20.5022,-10.0711,88.41,14,1,15.75,clear sky
Dikson,RU,73.5069,80.5464,31.6,86,100,13.04,overcast clouds
Lebu,CL,-37.6167,-73.65,50.88,91,100,10.92,light rain
Pauini,BR,-7.7136,-66.9764,74.71,82,51,1.9,broken clouds
Zyryanka,RU,65.75,150.85,20.48,86,100,27.45,light snow
Sorland,NO,67.667,12.6934,46.26,84,100,34.38,overcast clouds
Tshikapa,CD,-6.4167,20.8,68.94,93,99,3.02,overcast clouds
Tadine,NC,-21.55,167.8833,75.18,55,100,13.67,overcast clouds
Stolin,BY,51.8912,26.846,46.76,88,100,7.78,overcast clouds
San Marcos,US,33.1434,-117.1661,76.95,85,100,5.75,overcast clouds
Clyde River,CA,70.4692,-68.5914,25.03,80,100,19.57,light snow
Kutum,SD,14.2,24.6667,76.15,33,17,4.54,few clouds
Jinchang,CN,38.4953,102.1739,50.45,32,9,9.19,clear sky
Minot,US,48.2325,-101.2963,50.22,71,0,17.27,clear sky
Wewak,PG,-3.5534,143.6268,83.17,77,98,6.73,heavy intensity rain
Vila Velha,BR,-20.3297,-40.2925,75.15,88,40,5.75,scattered clouds
Ayagoz,KZ,47.9714,80.4392,39.7,52,7,8.84,clear sky
Severnoye,RU,56.3491,78.3619,41.43,95,100,0.76,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,78.48,84,88,11.12,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,48.69,91,1,7.29,clear sky
Fortuna,US,40.5982,-124.1573,59.94,84,33,1.01,scattered clouds
Arinos,BR,-15.9169,-46.1056,77.25,59,98,2.13,overcast clouds
Chokurdakh,RU,70.6333,147.9167,21.4,89,97,8.1,overcast clouds
Lorengau,PG,-2.0226,147.2712,85.5,71,73,12.5,broken clouds
Zaozerne,UA,45.1582,33.2787,57.36,62,90,3.65,overcast clouds
Kenai,US,60.5544,-151.2583,55.49,64,75,17.27,light rain
Pujehun,SL,7.3581,-11.7208,73.58,95,100,0.67,overcast clouds
Goderich,CA,43.7501,-81.7165,59.92,87,100,2.3,overcast clouds
San Joaquin,US,37.9333,-121.3011,89.67,34,0,4.61,clear sky
Saint-Philippe,RE,-21.3585,55.7679,63.99,77,39,11.45,scattered clouds
Nsanje,MW,-16.92,35.262,72.64,71,0,4.14,clear sky
Bilibino,RU,68.0546,166.4372,25.14,93,100,2.77,light snow
Tiksi,RU,71.6872,128.8694,24.51,82,100,16.2,overcast clouds
Chegdomyn,RU,51.1167,133.0167,35.87,41,90,8.48,overcast clouds
Esperance,AU,-33.8667,121.9,57.92,57,12,21.14,few clouds
Pisco,PE,-13.7,-76.2167,60.85,77,0,4.61,clear sky
Assiniboia,CA,49.6334,-105.9845,48.02,57,100,11.5,overcast clouds
